hike_name,hike_id,numReports,total_dist,elevation gain,time_from_seattle,Coast,stars,Dogs allowed on leash,Established campsites,Fall foliage,Good for kids,Lakes,Mountain views,Old growth,Ridges/passes,Rivers,Summits,Waterfalls,Wildflowers/Meadows,Wildlife
South Fork Silver Creek Trail to Gunsight Pass,94,1,14,2370,394.3833333,0,3.33,1,0,0,0,0,1,1,0,0,0,0,0,1
Manastash Lake,95,28,8,2100,163,0,3.75,1,1,0,1,1,0,0,0,0,0,0,0,1
Frenchman's Bar,96,0,2.5,210,164.1833333,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Melton Creek Trail,97,2,19.4,3800,349.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Philadelphia Mountain,98,1,,,108.6166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jumbo Mountain,99,1,8,4500,99.06666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maury Island Marine Park,100,2,3,500,80.91666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Palmer Mountain,101,2,,,86.46666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iverson Spit,102,1,,,71.76666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Capitol Lake Trails (Marathon Park and Heritage Park),103,1,,,67.66666667,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Foggy Dew Creek,104,16,14,4620,244.4333333,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Seattle Chinese Garden,105,1,,,16.66666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Easter Peak,106,2,11.66,5326,95.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Fork Asotin Creek to Pinkham Butte,107,3,20,1750,329.05,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Burfoot Park,108,1,3,150,75.16666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dungeness Recreation Area,109,1,,,142.6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
Picnic Point,110,1,,,31.45,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Interurban Trail - Snohomish County,111,1,,,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capitol State Forest - Waddell Basin West,112,1,,,81.08333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purcell Lookout,113,10,8.2,2600,159.3833333,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Iverson Railroad Trail,114,26,3,850,33.36666667,0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Silent Swamp Loop,115,21,8.8,600,30.56666667,0,3.14,0,0,0,1,0,1,0,0,0,0,0,0,1
Northwest Timber Trail,116,34,5,200,32.55,0,2.33,0,0,0,1,0,0,1,0,0,0,0,0,0
Snow Lake,117,833,7.2,1800,53.63333333,0,4.09,1,1,0,1,1,1,1,0,0,0,1,0,0
Pine Ridge Park,118,1,1.2,120,26.51666667,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
Wilburton Hill Park,119,1,2.8,175,16.36666667,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Yost Park,120,1,1.5,220,25.71666667,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Rowena Plateau and Tom McCall Point,121,8,3.4,1200,229.5833333,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
Eagle Lake Fisherman's Trail,122,41,5,712,116.4333333,0,3.8,1,1,0,1,1,1,1,0,0,0,0,0,1
High School Trail,123,27,2.1,375,24.4,0,3.67,1,0,0,1,0,0,0,0,0,0,0,0,1
Wallace Falls State Park - Jay Lake,124,17,,,64.73333333,0,3.5,0,0,0,1,1,0,0,0,0,0,0,0,0
Wallace Falls State Park - Greg Ball Trail,125,121,8.2,1500,64.11666667,0,3.6,1,1,0,1,1,0,0,0,1,0,1,0,0
Umtanum Ridge Crest,126,80,6,2400,121.9666667,0,3.17,0,0,0,0,0,1,0,1,0,1,0,0,1
Rainbow Falls State Park,127,9,3,200,104.4166667,0,2.4,1,0,0,1,0,0,1,0,0,0,0,0,0
Little Spokane River Natural Area: Knothead Loop,128,6,8,1000,268.95,0,4,0,0,1,0,0,0,0,0,0,1,0,0,1
Snoqualmie Falls,129,65,1.4,250,36.36666667,0,3.23,0,0,1,1,0,0,0,0,1,0,0,0,0
Mount Rose,130,184,6.4,3500,121.6,0,3.67,0,0,0,0,0,0,0,0,0,1,0,0,0
Spruce Railroad Trail,131,58,8,250,180.15,0,4.05,0,0,0,1,0,0,0,0,0,0,0,0,0
Hurricane Hill,132,104,3,950,187.4,0,3.85,0,0,0,0,0,1,0,1,0,1,0,0,1
Denny Creek,133,417,6,1345,54.66666667,0,3.9,1,0,0,1,0,0,1,0,1,0,1,0,0
Silver Falls Loop,134,60,2.7,200,121.5833333,0,3.21,0,1,0,1,0,0,1,0,0,0,1,0,0
Mount Baldy,135,26,,,121.6666667,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallace Falls - Lake Loop,136,91,9,1544,64.75,0,3.38,0,1,0,0,1,0,0,0,1,0,0,0,0
Twin Lakes (Wenatchee),137,83,8.4,1000,146.1333333,0,3,1,1,0,0,1,0,1,0,0,0,0,0,0
Ohanapecosh Hot Springs,138,8,1,50,121.5833333,0,4.2,0,1,0,1,0,0,0,0,1,0,0,0,0
Dungeness Spit,139,88,11,130,142.9166667,0,3.38,0,0,0,1,0,0,0,0,0,0,0,0,1
Tolmie Peak Lookout - Eunice Lake,140,180,7.5,1100,124.9,0,4.23,0,0,0,1,0,1,1,1,0,1,0,0,0
Wolf Creek,141,24,21,4270,243.65,0,2.8,0,0,0,0,0,1,1,0,0,0,0,0,1
Big Creek,142,100,4.5,900,116.15,0,3.5,1,1,0,0,0,0,1,0,0,0,0,0,0
Cowiche Mountain,143,0,7,1140,149.1333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gypsy Peak,144,0,16,1750,432.4333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Sherman Point Loop,145,1,3,200,336.6166667,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Saint Edward State Park,146,37,3,400,33.26666667,0,4.18,1,0,0,1,1,0,0,0,0,0,0,0,1
Monte Cristo Ghost Town,147,124,8,700,100.3833333,0,3.71,0,0,0,1,0,0,0,0,0,0,0,0,0
Mount Walker,148,150,4,2000,119.05,0,3.07,1,0,0,0,0,1,0,0,0,1,0,0,1
Klapatche Park,149,12,21.4,3300,132.3666667,0,3.75,0,1,0,0,1,1,0,0,0,0,0,0,1
Mystic Lake,150,12,18,1870,143.5666667,0,2.67,0,1,0,0,0,1,0,1,0,0,0,0,1
Ira Spring Trail - Mason Lake,151,754,6.5,2420,56.15,0,4.19,1,1,0,0,1,1,0,1,0,0,1,0,0
Iron Bear - Teanaway Ridge,152,186,6.5,1900,107.85,0,3.81,0,0,0,0,0,1,0,0,0,0,0,0,0
Crystal Lakes,153,182,6,2600,98.1,0,4.17,0,1,0,0,0,1,1,0,0,0,0,0,1
Mount Peak (Pinnacle Peak),154,57,2.4,1058,60.15,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0
Tieton River Meadows Snowshoe,155,3,10,350,158.4,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1
Stimpson Nature Reserve,156,14,4.9,300,92.81666667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
Illahee Forest Preserve,157,3,2.7,210,80.08333333,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Pack Forest - Little Mashel Falls,158,40,5,500,83.15,0,3.5,0,0,0,0,0,0,0,0,1,0,0,0,1
Annette Lake,159,712,7.5,1400,48.58333333,0,3.61,1,1,0,0,1,1,1,0,1,0,1,0,0
Little Quilcene River,160,62,6.8,2180,111.9166667,0,3.33,0,0,0,0,0,1,0,0,0,1,0,0,1
Hoh River Trail to Five Mile Island,161,109,10.6,300,241.6166667,0,3.53,0,1,0,1,0,0,1,0,1,0,0,0,1
Green Lake,162,115,9.6,1150,100.3666667,0,3.88,0,0,0,1,1,0,1,0,0,0,1,0,0
Diablo Lake,163,57,7.6,1400,151.1166667,0,3.33,1,0,0,0,0,0,0,0,0,0,0,0,0
Cedar Butte,164,202,3.5,900,39.08333333,0,3.26,1,0,0,1,0,0,0,0,0,1,0,0,0
Perry Creek,165,251,10.5,3400,96.31666667,0,4,0,1,1,0,0,1,1,0,0,1,1,1,0
Poo Poo Point,166,359,7.2,1858,24.06666667,0,3.58,1,0,0,0,0,1,0,0,0,0,0,0,1
Greenwater and Echo Lakes,167,275,14,1900,97.9,0,3.39,1,1,0,1,1,0,1,0,1,0,0,0,1
Bear Lake,168,37,0.8,75,98.9,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
Mount Defiance,169,319,11,3584,56.15,0,4.14,0,0,0,0,1,1,0,0,0,1,0,0,0
Skyline Lake Snowshoe,170,92,3,1100,100.1833333,0,3.8,1,0,0,1,1,0,0,0,0,0,0,0,0
West Fork Foss River and Lakes,171,305,14.6,3300,101.8333333,0,3.91,1,1,0,0,1,0,1,0,1,0,1,0,0
Suntop Lookout,172,62,2.1,1100,93.45,0,2.5,1,0,0,0,0,0,0,0,0,1,0,0,0
Mildred Point,173,29,7,3135,123.0666667,0,4.5,0,0,0,0,0,1,1,0,0,0,1,0,0
Van Trump Park,174,65,6,2150,130.6833333,0,4.09,0,0,0,0,0,1,0,1,1,0,1,0,0
Heather Creek Trail via Upper Dungeness River,175,16,15.8,1800,183.7833333,0,3,1,1,0,0,0,1,1,0,1,0,0,0,0
Mink Lake,176,10,5.2,1450,210.7833333,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0
Tunnel Creek,177,91,9.4,2450,150.45,0,3.33,0,1,1,0,1,1,1,0,0,0,0,0,0
Franklin Falls,178,369,2,400,52.56666667,0,4.09,0,0,0,1,0,0,0,0,1,0,1,0,0
Douglas Creek Canyon - South,179,9,5,100,187.6833333,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
Stevens Canyon Waterfalls,180,11,7,700,135.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Comet Falls,181,108,3.8,1250,130.6833333,0,4.22,0,0,0,0,0,0,0,0,0,0,1,0,0
Lover's Lane Loop,182,10,,,211.9,0,3.4,0,0,1,1,0,0,1,0,0,0,1,0,0
Bean Creek Basin,183,163,7,2000,121.35,0,3.13,0,0,0,0,0,1,0,0,0,0,0,0,0
Columbia Plateau Trail - Fish Lake,184,2,7.5,200,246.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Waptus River,185,96,22,560,108.8833333,0,3,1,1,0,0,1,1,0,1,0,0,0,0,0
Kelcema Lake,186,61,1.2,29,105.35,0,3.8,0,0,0,1,0,0,0,0,0,0,0,0,1
Boulder Cave,187,27,2,300,146.9166667,0,3.6,0,0,0,1,0,0,0,0,0,0,0,0,0
North Twentymile Peak,188,6,13,4387,269.8166667,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0
Castle Rock,189,2,,,151.8166667,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
Diobsud Creek,190,9,4,440,122.9666667,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
Wind Mountain,191,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suiattle River Trail,192,124,13.8,900,163.5,0,3,0,1,0,1,0,0,1,0,1,0,1,0,0
Beezley Hills Preserve,193,19,3,400,164.7666667,0,2.11,0,0,0,0,0,1,0,0,0,0,0,0,0
Clara and Marion Lakes,194,28,3.2,900,173.45,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,1
Silver Falls,195,20,1.8,700,224.1333333,0,3.67,1,1,0,1,0,0,0,0,0,0,0,0,0
Miners Ridge (Entiat),196,1,4,850,181.35,0,3.8,1,0,0,0,0,1,0,0,0,0,0,0,0
Cougar Mountain (Entiat),197,3,10,1200,165.55,0,2.83,0,1,0,0,0,1,0,0,0,1,0,0,0
Poe Mountain,198,28,6,3000,182.5666667,0,3.5,0,0,0,0,0,1,0,0,0,1,0,0,0
Meander Meadows,199,44,12.5,2475,182.5666667,0,3.2,0,1,0,0,0,1,0,0,1,0,0,0,1
Cady Ridge,200,56,13,2700,182.5666667,0,3.17,0,0,0,0,0,1,0,1,0,0,0,0,0
Pear Lake,201,10,12,2600,179.6333333,0,3.25,1,1,0,0,1,0,0,0,0,0,0,0,0
Upper Icicle Creek,202,52,10,400,174.1166667,0,3.25,1,0,0,1,0,0,0,0,0,0,0,0,0
Bootjack Mountain,203,25,8,3900,173.4666667,0,3.71,0,0,0,0,0,1,1,0,0,0,0,0,0
Ancient Lakes,204,171,12,625,159.75,0,4,0,1,0,1,0,0,0,0,0,0,1,0,1
Trout Lake,205,65,11.5,2000,170.6833333,0,3.25,0,0,0,0,1,0,1,0,0,0,0,0,0
Lake Edna,206,28,12.5,4500,165.5333333,0,2.33,1,0,0,0,0,1,0,0,0,0,0,0,0
Icicle Ridge via Fourth of July Creek,207,186,12,4370,152.9166667,0,3.2,0,0,0,0,0,1,0,1,0,0,0,0,0
Trail of Two Forests,208,6,0.5,50,185.3166667,0,3.4,0,0,0,0,0,0,1,0,0,0,0,0,0
Chiwaukum Creek,209,95,12,1550,125.0333333,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Julius and Loch Eileen,210,12,7,1400,124.5333333,0,2.5,0,0,1,0,1,0,0,0,0,0,0,0,0
Larch Lake,211,16,12,2450,124.5333333,0,3.5,0,0,0,0,1,1,0,0,0,0,1,0,0
Lake Janus and Grizzly Peak,212,77,7.2,1550,120.05,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Surprise and Glacier Lakes,213,244,11,2700,94.36666667,0,3.23,1,1,0,0,1,0,1,0,0,0,1,0,0
Lake Elizabeth,214,29,0.7,50,82.71666667,0,2.67,1,0,0,1,0,0,0,0,0,0,0,0,0
Crater Lakes,215,28,8.6,2350,245.4666667,0,3.77,1,1,0,0,1,0,0,0,0,0,0,0,0
Libby Lake,216,12,11,3320,258.9833333,0,2.8,0,0,1,0,1,0,0,0,0,0,0,0,0
Louis Lake,217,19,10.5,2300,277.3833333,0,3.56,0,1,0,0,1,1,1,0,0,0,0,0,0
Copper Pass,218,18,10,3160,283.2,0,3,1,1,0,0,0,1,1,1,1,0,0,0,1
Lost River,219,13,8,300,216.15,0,2.8,1,0,0,0,0,0,0,0,0,0,0,0,1
Cutthroat Pass,220,92,10,2000,181.05,0,3.55,1,0,0,0,0,1,0,0,0,0,0,0,0
Pyramid Lake,221,26,4.5,1500,144.1833333,0,3.43,1,0,0,0,0,0,1,0,0,0,0,0,1
Skagit River,222,4,1.8,100,136.8166667,0,3.2,1,1,0,1,0,0,0,0,0,0,0,0,0
Goat Mountain,223,108,11,4100,154.5666667,0,3.33,0,0,0,0,0,1,1,1,0,1,0,0,0
Cow Heaven,224,34,10,4000,119.9,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Huckleberry Mountain,225,44,12,4600,129.9,0,2.7,0,0,1,0,0,0,1,0,0,1,0,0,0
Crystal Lake,226,16,9,2300,130.3333333,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
Round Lake,227,26,11,4300,127.45,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Boardman Lake,228,104,2,300,95.13333333,0,3.23,0,0,0,1,0,0,0,0,0,0,0,0,0
Tin Can Gap,229,14,12,2800,132.1666667,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0
Baker River,230,89,5,300,142.9166667,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0
Staircase Rapids,231,148,4,150,131.7166667,0,3.73,0,0,0,1,0,0,0,0,0,0,0,0,0
Ape Caves,232,90,2.8,350,187.0833333,0,4.42,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron Creek Campground,233,3,1.5,1200,147.7,0,3,0,1,1,1,0,0,1,0,0,0,0,0,0
Snoqualmie Lake,234,108,17,1900,71.91666667,0,3.5,1,1,0,0,1,0,0,0,1,0,1,0,1
Kelly Butte,235,87,3.4,900,117.7833333,0,3.6,0,0,1,0,0,1,0,0,0,1,0,0,1
Tahoma Creek Suspension Bridge - Emerald Ridge Loop,236,28,14.2,3100,132.2833333,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Twisp Pass,237,51,9,2460,283.2,0,3.6,0,1,1,0,0,1,0,1,1,0,0,0,0
Lincoln Park,238,2,1.85,160,18.98333333,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0
Kukutali Preserve,239,18,2.2,200,82.28333333,0,4,0,0,1,1,0,0,0,0,0,0,0,0,1
Deception Pass State Park - Goose Rock,240,58,4.3,484,95.33333333,0,3.88,1,0,0,1,0,1,1,0,0,0,0,0,0
Dog Mountain,241,105,6,2800,212.5333333,0,4.35,1,0,0,0,0,0,0,0,1,1,0,0,0
